model,model_label,owner,model_role,best_validation_rmse,rmse,mae,precision_at_5,precision_at_10,precision_at_20,recall_at_5,recall_at_10,recall_at_20,ndcg_at_5,ndcg_at_10,ndcg_at_20,evaluated_rating_count,evaluated_rating_users,evaluated_ranking_users,training_seconds,inference_seconds
basic_mf,Basic MF,Ziqi,planned,1.0228248331365413,1.1494089935786191,0.8820027586908887,0.009779643231899292,0.008646379853095545,0.007324239244491115,0.020534919784657445,0.03617832295543897,0.060527633099742684,0.017937611111453935,0.023946767423720927,0.03161065775600213,17168,5129,4765,26.085656,6.624272
funksvd,FunkSVD,Ziqi,planned,0.844779351228962,0.861341081689751,0.6689436975997434,0.0021406086044071346,0.0019937040923399753,0.0018992654774396625,0.003764288181735806,0.007368713845724069,0.014279590156085386,0.0035095083522284315,0.004919915744073547,0.007130899224191944,17168,5129,4765,14.270369,6.724726
als,ALS,Yutao,planned,1.0149814550211673,1.1190877002089787,0.8287607682728049,0.0010912906610703048,0.001448058761804825,0.0016369359916054524,0.002347224304202268,0.005637247211224125,0.012637659783403355,0.0013694052489083511,0.0027277270572890677,0.0050336419342941596,17168,5129,4765,0.8143856670358218,4.850476250983775
nmf,NMF + L2,Yutao,planned,0.897691940237343,0.9840615938410234,0.7196401908194182,0.0004197271773347324,0.00044071353620146926,0.0004931794333683105,0.000577124868835257,0.0011932244041373105,0.003079415046886191,0.0005646325926843583,0.000835262115252715,0.0014395753183609795,17168,5129,4765,0.9314998750342056,12.81145475100493
bias_aware_als,Bias-aware ALS,Yutao,additional diagnostic,0.8433334528974227,0.8615696834259692,0.6750450072363662,0.002728226652675758,0.0020356768100734486,0.0035466946484785087,0.004994805960066838,0.007761748826513992,0.026902048332761365,0.0049498007613649276,0.005978031407140263,0.01228781147677391,17168,5129,4765,0.8120367909432389,5.068788874952588
